variable,lib,DB010,DB020,RB010,RB020,RB040,RB060,RB062,RB063,RB064,RB070,RB070_F,RB080,RB080_F,RB090,RB110,RB220,RB220_F,RB230,RB230_F,RB240_F,RB245,HB010,HB050,HB050_F,HB060,HH020,HH021,HH021_F,HH030,HH030_F,HH050,HH050_F,HH070,HS010,HS010_F,HS011,HS011_F,HS020,HS020_F,HS021,HS021_F,HS030,HS030_F,HS031,HS031_F,HS040,HS040_F,HS050,HS050_F,HS060,HS060_F,HS070,HS070_F,HS080,HS080_F,HS100,HS100_F,HS110,HS110_F,PB010,PB040,PB060,PB080,PB150,PB210,PB220A,PE040,PL020,PL025,PL030,PL031,PL031_F,PL040,PL060,PL070,PL072,PL073,PL074,PL075,PL076,PL080,PL085,PL086,PL087,PL088,PL089,PL090,PL100,PL100_F,PL140,PL210A to L,PL210A_F to L_F,PL211A to L,PL211A_F to L_F,PW005,HY020,HY020_F,HY022_F,HY023_F,HY025,HY025_F,HY040N,HY040N_F,HY040G,HY040G_F,HY050N,HY050N_F,HY050G,HY050G_F,HY060N,HY060N_F,HY060G,HY060G_F,HY070N,HY070N_F,HY070G,HY070G_F,HY080N,HY080N_F,HY080G,HY080G_F,HY90N,HY090N_F,HY090G,HY090G_F,HY100G_F,HY100N_F,HY110N,HY110N_F,HY110G,HY110G_F,PY010N,PY010N_F,PY010G,PY010G_F,PY020N,PY020N_F,PY020G,PY020G_F,PY021G,PY021G_F,PY050N,PY050N_F,PY050G,PY050G_F,PY080G,PY080G_F,PY080N,PY090N,PY090N_F,PY090G,PY090G_F,PY100N,PY100N_F,PY100G,PY100G_F,PY110N,PY110N_F,PY110G,PY110G_F,PY120N,PY120N_F,PY120G,PY120G_F,PY130N,PY130N_F,PY130G,PY130G_F,PY140N,PY140N_F,PY140G,PY140G_F,rate_ppp.ppp,rate_ppp.rate,rate_ppp.year,pgm
AGE,C_Var,1,,,,,,,,,1,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,idb_calculation
AGE,E_Var,1,,,,,,,,,1,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,idb_calculation
AGE,L_Var,,,1,,,,,,,1,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,20.VAR_AGE_AGE_IW
AGE_IW,L_Var,,,1,,,,,,,1,1,1,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,20.VAR_AGE_AGE_IW
HS010,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,idb_calculation
HS010,E_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,idb_calculation
HS010_F,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,idb_calculation
HS010_F,E_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,idb_calculation
HS020,C_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idb_calculation
HS020,E_Var,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,idb_calculation
